agent,step,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,fixable_pct
GPT-4o,Diff + ErrLog + Expl,24.3,13.7,9.8,6.2,5.6,3.9,3.0,2.8,1.2,0.3,70.8
Claude 3.5 Sonnet,Diff + ErrLog + Expl,22.9,14.4,8.7,6.9,4.1,3.5,2.6,2.2,1.2,0.2,66.7
Llama 3 (8B),Diff + ErrLog + Expl,19.6,12.1,7.9,5.1,4.4,3.0,2.4,1.9,1.5,0.2,58.1
GPT-4o,Diff + ErrLog + Expl + RAG,21.7,13.2,8.9,6.8,5.2,4.1,2.9,2.3,1.9,0.3,67.3
Claude 3.5 Sonnet,Diff + ErrLog + Expl + RAG,22.4,12.6,8.1,6.0,4.8,3.7,2.8,2.1,1.5,0.2,64.2
Llama 3 (8B),Diff + ErrLog + Expl + RAG,18.7,11.2,6.9,5.4,3.6,2.7,2.2,1.8,1.1,0.1,53.7
,Diff + ErrLog,14.8,8.5,5.0,3.5,2.7,1.8,1.6,1.0,0.6,0.2,39.7
GPT-4o,Expl only,12.8,6.5,4.9,3.1,2.5,1.7,1.2,1.1,0.6,0.2,34.6
,RAG only,8.7,5.0,3.6,2.5,1.8,1.5,1.1,0.8,0.5,0.1,25.6
,Diff + RAG,13.1,7.2,5.5,3.2,2.8,2.1,1.4,1.0,0.5,0.1,36.9
,Diff only,8.9,4.5,2.8,2.1,1.7,1.3,1.1,0.7,0.4,0.1,23.6
